split,source_split,exercise,person,trial,camera,score,performance
train,train,E3,P0,T0,C2,4.44,good
train,train,E3,P10,T0,C2,4.32,good
train,train,E3,P10,T3,C2,3.78,bad
train,train,E3,P14,T0,C2,4.74,good
train,train,E3,P14,T3,C2,4.2,good
train,train,E3,P14,T4,C2,2.58,bad
train,train,E3,P14,T5,C2,3.28,bad
train,train,E3,P14,T6,C2,1.98,bad
train,train,E3,P15,T0,C2,4.3,good
train,train,E3,P15,T3,C2,4.16,good
train,train,E3,P15,T4,C2,3.62,bad
train,train,E3,P15,T5,C2,4.1,good
train,train,E3,P2,T0,C2,4.8,good
train,train,E3,P2,T1,C2,4.5,good
train,train,E3,P2,T2,C2,4.5,good
train,train,E3,P3,T0,C2,4.6,good
train,train,E3,P3,T2,C2,4.58,good
train,train,E3,P4,T0,C2,4.68,good
train,train,E3,P4,T2,C2,4.42,good
train,train,E3,P5,T0,C2,4.58,good
train,train,E3,P5,T2,C2,4.62,good
train,train,E3,P7,T0,C2,4.44,good
train,train,E3,P7,T1,C2,4.64,good
train,valid,E3,P11,T3,C2,4.1,good
train,valid,E3,P11,T4,C2,3.1,bad
train,valid,E3,P11,T5,C2,3.1,bad
train,valid,E3,P11,T6,C2,2.88,bad
train,valid,E3,P1,T0,C2,4.82,good
train,valid,E3,P1,T1,C2,4.68,good
train,valid,E3,P6,T0,C2,4.42,good
train,valid,E3,P6,T2,C2,4.5,good
train,test,E3,P12,T0,C2,4.64,good
train,test,E3,P12,T5,C2,3.66,bad
train,test,E3,P8,T0,C2,3.94,bad
train,test,E3,P8,T1,C2,4.02,good
train,test,E3,P8,T2,C2,4.06,good
train,test,E3,P9,T1,C2,3.4,bad
train,test,E3,P9,T2,C2,3.7,bad
valid,train,E3,P0,T2,C2,4.4,good
valid,train,E3,P10,T4,C2,2.58,bad
valid,train,E3,P10,T5,C2,1.44,bad
valid,train,E3,P15,T6,C2,3.3,bad
valid,train,E3,P3,T1,C2,4.56,good
valid,train,E3,P4,T1,C2,4.6,good
valid,valid,E3,P6,T1,C2,4.34,good
valid,test,E3,P9,T0,C2,3.4694,bad
test,train,E3,P0,T1,C2,4.4082,good
test,train,E3,P10,T6,C2,2.14,bad
test,train,E3,P5,T1,C2,4.62,good
test,train,E3,P7,T2,C2,4.56,good
test,valid,E3,P11,T0,C2,4.56,good
test,test,E3,P12,T3,C2,2.78,bad
test,test,E3,P12,T4,C2,2.64,bad
test,test,E3,P12,T6,C2,2.14,bad
